        datetime    open    high     low   close    MA20  ENE_UP  ENE_LOW     ENE  sell  buy   op  open_price  keep  cash_open  hold  avg_price  cash_left      val
1086  2019-02-15   4.690   4.960   4.640   4.690   4.329   4.884    4.004   4.444   NaN  NaN  1.0       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1087  2019-02-18   4.690   5.100   4.690   5.000   4.390   4.961    4.067   4.514   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1088  2019-02-19   5.070   5.180   4.820   4.980   4.451   5.026    4.120   4.573   0.0  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1089  2019-02-20   5.030   5.190   4.890   5.040   4.495   5.124    4.201   4.662   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1090  2019-02-21   4.970   5.040   4.850   4.880   4.520   5.204    4.266   4.735   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1091  2019-02-22   4.760   4.980   4.760   4.890   4.555   5.273    4.322   4.798   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1092  2019-02-25   4.980   5.380   4.900   5.250   4.609   5.365    4.398   4.881   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1093  2019-02-26   5.300   5.730   5.140   5.320   4.660   5.462    4.478   4.970   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1094  2019-02-27   5.310   5.600   5.130   5.200   4.688   5.552    4.552   5.052   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1095  2019-02-28   5.280   5.350   5.060   5.110   4.713   5.590    4.583   5.086   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1096  2019-03-01   5.130   5.550   5.080   5.520   4.760   5.682    4.658   5.170   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1097  2019-03-04   5.530   5.660   5.390   5.470   4.818   5.734    4.701   5.218   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1098  2019-03-05   5.400   5.550   5.310   5.540   4.875   5.796    4.752   5.274   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1099  2019-03-06   5.510   5.720   5.450   5.580   4.946   5.856    4.801   5.329   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1100  2019-03-07   5.510   5.670   5.440   5.550   5.016   5.931    4.862   5.396   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1101  2019-03-08   5.390   5.390   5.050   5.060   5.055   5.950    4.878   5.414   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1102  2019-03-11   5.050   5.250   4.960   5.160   5.092   5.940    4.869   5.405   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1103  2019-03-12   5.220   5.290   5.050   5.140   5.127   5.920    4.853   5.386   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1104  2019-03-13   5.150   5.430   5.060   5.360   5.176   5.937    4.868   5.402   NaN  NaN  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1105  2019-03-14   5.400   5.850   5.300   5.630   5.219   5.995    4.915   5.455   NaN  1.0  NaN       4.690   1.0    30000.0     0      0.000    30000.0  30000.0
1106  2019-03-15   5.700   6.190   5.460   6.130   5.291   6.063    4.970   5.517   NaN  NaN  1.0       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1107  2019-03-18   6.680   6.680   6.130   6.440   5.363   6.170    5.059   5.615   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1108  2019-03-19   6.250   7.080   6.210   7.080   5.468   6.341    5.199   5.770   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1109  2019-03-20   6.930   7.380   6.500   6.780   5.555   6.475    5.308   5.891   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1110  2019-03-21   7.020   7.150   6.720   6.760   5.649   6.609    5.418   6.014   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1111  2019-03-22   6.660   7.050   6.460   6.870   5.748   6.810    5.583   6.196   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1112  2019-03-25   6.690   7.560   6.620   7.330   5.852   7.051    5.780   6.416   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1113  2019-03-26   7.720   8.060   7.500   8.060   5.989   7.375    6.046   6.710   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1114  2019-03-27   8.540   8.870   8.480   8.870   6.172   7.764    6.365   7.065   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1115  2019-03-28   9.290   9.760   8.390   8.390   6.336   8.071    6.617   7.344   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1116  2019-03-29   8.060   9.230   8.000   9.230   6.522   8.415    6.899   7.657   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
